date,price,xuat_khau
2010-04-13,24400.0,1.350067843
2010-04-14,24400.0,1.350067843
2010-04-15,24400.0,1.350067843
2010-04-16,24400.0,1.350067843
2010-04-17,24400.0,1.350067843
2010-04-18,24400.0,1.350067843
2010-04-19,24400.0,1.350067843
2010-04-20,24000.0,1.350067843
2010-04-21,23700.0,1.350067843
2010-04-22,23500.0,1.350067843
2010-04-23,23500.0,1.350067843
2010-04-24,23500.0,1.350067843
2010-04-25,23500.0,1.350067843
2010-04-26,23900.0,1.350067843
2010-04-27,23900.0,1.350067843
2010-04-28,23000.0,1.350067843
2010-04-29,23500.0,1.350067843
2010-04-30,23500.0,1.350067843
2010-05-01,23500.0,1.413670486
2010-05-02,23500.0,1.413670486
2010-05-03,23500.0,1.413670486
2010-05-04,24000.0,1.413670486
2010-05-05,24600.0,1.413670486
2010-05-06,24500.0,1.413670486
2010-05-07,24200.0,1.413670486
2010-05-08,24200.0,1.413670486
2010-05-09,24200.0,1.413670486
2010-05-10,24600.0,1.413670486
2010-05-11,24800.0,1.413670486
2010-05-12,24950.0,1.413670486
2010-05-13,25000.0,1.413670486
2010-05-14,24900.0,1.413670486
2010-05-15,24900.0,1.413670486
2010-05-16,24900.0,1.413670486
2010-05-17,24500.0,1.413670486
2010-05-18,24200.0,1.413670486
2010-05-19,24400.0,1.413670486
2010-05-20,23900.0,1.413670486
2010-05-21,23900.0,1.413670486
2010-05-22,23900.0,1.413670486
2010-05-23,23900.0,1.413670486
2010-05-24,24100.0,1.413670486
2010-05-25,24000.0,1.413670486
2010-05-26,24000.0,1.413670486
2010-05-27,24100.0,1.413670486
2010-05-28,24100.0,1.413670486
2010-05-29,24100.0,1.413670486
2010-05-30,24100.0,1.413670486
2010-05-31,24200.0,1.413670486
2010-06-01,24200.0,1.44908022
2010-06-02,24400.0,1.44908022
2010-06-03,24300.0,1.44908022
2010-06-04,24400.0,1.44908022
2010-06-05,24400.0,1.44908022
2010-06-06,24400.0,1.44908022
2010-06-07,24400.0,1.44908022
2010-06-08,24400.0,1.44908022
2010-06-09,24500.0,1.44908022
2010-06-10,25000.0,1.44908022
2010-06-11,25500.0,1.44908022
2010-06-12,25500.0,1.44908022
2010-06-13,25500.0,1.44908022
2010-06-14,25900.0,1.44908022
2010-06-15,26300.0,1.44908022
2010-06-16,26400.0,1.44908022
2010-06-17,26400.0,1.44908022
2010-06-18,26200.0,1.44908022
2010-06-19,26200.0,1.44908022
2010-06-20,26200.0,1.44908022
2010-06-21,26600.0,1.44908022
2010-06-22,26600.0,1.44908022
2010-06-23,26600.0,1.44908022
2010-06-24,26750.0,1.44908022
2010-06-25,27600.0,1.44908022
2010-06-26,27600.0,1.44908022
2010-06-27,27600.0,1.44908022
2010-06-28,28500.0,1.44908022
2010-06-29,28900.0,1.44908022
2010-06-30,28800.0,1.44908022
2010-07-01,29200.0,1.539157535
2010-07-02,29700.0,1.539157535
2010-07-03,29700.0,1.539157535
2010-07-04,29700.0,1.539157535
2010-07-05,29800.0,1.539157535
2010-07-06,29400.0,1.539157535
2010-07-07,28500.0,1.539157535
2010-07-08,28700.0,1.539157535
2010-07-09,29200.0,1.539157535
2010-07-10,29200.0,1.539157535
2010-07-11,29200.0,1.539157535
2010-07-12,29200.0,1.539157535
2010-07-13,29100.0,1.539157535
2010-07-14,29300.0,1.539157535
2010-07-15,29500.0,1.539157535
2010-07-16,30000.0,1.539157535
2010-07-17,30000.0,1.539157535
2010-07-18,30000.0,1.539157535
2010-07-19,30100.0,1.539157535
2010-07-20,29450.0,1.539157535
2010-07-21,28000.0,1.539157535
2010-07-22,28700.0,1.539157535
2010-07-23,28900.0,1.539157535
2010-07-24,28900.0,1.539157535
2010-07-25,28900.0,1.539157535
2010-07-26,29500.0,1.539157535
2010-07-27,29400.0,1.539157535
2010-07-28,29200.0,1.539157535
2010-07-29,29600.0,1.539157535
2010-07-30,30100.0,1.539157535
2010-07-31,30100.0,1.539157535
2010-08-01,30100.0,1.587929755
2010-08-02,30800.0,1.587929755
2010-08-03,30000.0,1.587929755
2010-08-04,29200.0,1.587929755
2010-08-05,29500.0,1.587929755
2010-08-06,29500.0,1.587929755
2010-08-07,29200.0,1.587929755
2010-08-08,29200.0,1.587929755
2010-08-09,29500.0,1.587929755
2010-08-10,29400.0,1.587929755
2010-08-11,29200.0,1.587929755
2010-08-12,29200.0,1.587929755
2010-08-13,29550.0,1.587929755
2010-08-14,29550.0,1.587929755
2010-08-15,29550.0,1.587929755
2010-08-16,29600.0,1.587929755
2010-08-17,29800.0,1.587929755
2010-08-18,30000.0,1.587929755
2010-08-19,29600.0,1.587929755
2010-08-20,29600.0,1.587929755
2010-08-21,29600.0,1.587929755
2010-08-22,29600.0,1.587929755
2010-08-23,30400.0,1.587929755
2010-08-24,30300.0,1.587929755
2010-08-25,28200.0,1.587929755
2010-08-26,27400.0,1.587929755
