date,price,tavg,tmax,pres
2018-04-20,40000,86.5,95.0,1008.6
2018-04-23,40000,85.5,95.0,1007.4
2018-04-26,40000,87.6,96.8,1008.5
2018-05-16,40000,87.4,95.0,1007.0
2018-05-17,40000,86.2,95.0,1006.4
2018-05-18,40000,84.7,96.8,1006.4
2018-05-21,40000,83.5,93.2,1007.9
2018-05-22,40000,80.8,89.6,1007.9
2018-05-23,40000,84.0,93.2,1007.9
2018-05-24,40000,81.1,95.0,1007.5
2018-05-28,40000,84.6,95.0,1008.7
2018-05-29,40000,82.0,93.2,1008.7
2018-05-30,40000,86.7,93.2,1008.1
2018-06-01,40000,82.9,91.4,1008.3
2018-06-04,40000,82.6,89.6,1006.0
2018-06-05,40000,83.1,91.4,1007.4
2018-06-07,40000,83.7,93.2,1006.9
2018-06-08,40000,81.9,87.8,1006.8
2018-06-11,40000,82.2,89.6,1009.4
2018-06-12,40000,82.8,91.4,1008.5
2018-06-13,40000,81.1,89.6,1008.5
2018-06-14,40000,82.9,91.4,1007.0
2018-06-15,40000,83.1,91.4,1006.8
2018-06-18,40000,80.8,87.8,1006.1
2018-06-19,40000,82.2,89.6,1007.6
2018-06-20,40000,83.7,91.4,1009.0
2018-06-21,40000,85.5,91.4,1009.0
2018-06-22,40000,85.6,93.2,1008.0
2018-06-25,40000,84.0,93.2,1007.4
2018-06-26,40000,79.9,87.8,1008.4
2018-06-27,40000,82.6,89.6,1009.0
2018-06-28,40000,83.5,91.4,1008.2
2018-06-29,40000,85.5,95.0,1006.7
2018-07-02,40000,82.6,93.2,1007.0
2018-07-03,40000,83.5,91.4,1007.0
2018-07-04,40000,82.8,91.4,1007.3
2018-07-05,40000,81.7,87.8,1005.3
2018-07-06,40000,79.3,89.6,1005.3
2018-07-09,40000,82.6,91.4,1005.1
2018-07-11,40000,82.8,89.6,1005.2
2018-07-12,40000,81.7,87.8,1005.1
2018-07-13,40000,82.8,87.8,1004.6
2018-07-24,40000,84.9,91.4,1006.7
2018-07-25,40000,81.0,86.0,1007.6
2018-07-26,40000,84.9,93.2,1007.4
2018-07-27,40000,84.9,91.4,1007.0
2018-08-01,40000,84.9,91.4,1007.5
2018-08-02,40000,83.1,91.4,1007.4
2018-08-03,40000,83.8,91.4,1007.0
2018-08-06,40000,80.1,89.6,1006.2
2018-08-07,40000,81.3,89.6,1005.0
2018-08-08,40000,79.5,89.6,1004.9
2018-08-09,40000,79.2,87.8,1006.2
2018-08-10,40000,79.5,87.8,1007.7
2018-08-13,40000,81.9,87.8,1007.1
2018-08-14,40000,79.2,86.0,1007.1
2018-08-15,40000,82.2,87.8,1007.3
2018-08-16,40000,83.7,89.6,1005.4
2018-08-17,40000,84.4,89.6,1003.2
2018-08-20,40000,82.9,89.6,1007.8
2018-08-21,40000,83.3,89.6,1006.4
2018-08-22,40000,84.6,91.4,1005.8
2018-08-23,40000,82.9,93.2,1007.5
2018-08-24,40000,83.7,89.6,1007.9
2018-08-27,40000,83.1,89.6,1007.7
2018-08-28,40000,83.1,91.4,1008.8
2018-08-29,40000,83.5,93.2,1007.8
2018-08-30,40000,84.9,91.4,1007.5
2018-08-31,40000,85.3,91.4,1008.7
2018-09-04,40000,81.1,89.6,1009.3
2018-09-05,40000,83.1,91.4,1008.3
2018-09-06,40000,83.8,91.4,1006.4
2018-09-07,40000,81.0,89.6,1005.7
2018-09-10,40000,83.8,91.4,1010.4
2018-09-11,40000,83.5,89.6,1009.5
2018-09-12,40000,79.2,87.8,1008.1
2018-09-13,40000,80.6,89.6,1007.0
2018-09-14,40000,80.8,87.8,1006.9
2018-09-17,40000,78.8,84.2,1006.2
2018-09-18,40000,79.2,89.6,1008.6
2018-09-19,40000,82.2,93.2,1008.6
2018-09-20,40000,80.8,89.6,1008.4
2018-09-21,40000,82.8,91.4,1009.3
2018-09-24,40000,78.6,87.8,1010.5
2018-09-25,40000,83.1,91.4,1009.2
2018-09-26,40000,84.0,93.2,1008.1
2018-10-05,40000,80.8,89.6,1010.2
2018-10-10,40000,85.3,93.2,1009.2
2018-10-15,40000,83.7,91.4,1011.2
2018-10-16,40000,84.7,91.4,1010.7
2018-10-17,40000,81.7,91.4,1009.6
2018-10-18,40000,81.7,93.2,1009.0
2018-10-19,40000,79.5,84.2,1009.3
2018-10-22,40000,81.9,93.2,1011.0
2018-10-25,40000,83.8,91.4,1011.4
2018-10-26,40000,84.6,93.2,1011.4
2018-10-29,40000,83.8,93.2,1008.9
2018-10-30,40000,81.7,89.6,1008.8
2018-10-31,40000,82.2,91.4,1009.6
2018-11-01,40000,83.5,91.4,1009.0
2018-11-02,40000,83.1,89.6,1009.9
2018-11-06,40000,86.0,95.0,1008.3
2018-11-07,40000,78.8,84.2,1009.0
2018-11-08,40000,83.8,91.4,1008.9
2018-11-09,40000,84.0,93.2,1008.5
2018-11-10,40000,85.8,95.0,1009.3
2018-11-12,40000,82.2,93.2,1009.0
2018-11-13,40000,82.8,91.4,1007.6
2018-11-14,40000,83.3,91.4,1008.4
2018-11-15,40000,84.9,93.2,1009.6
2018-11-16,40000,82.8,91.4,1010.4
2018-11-19,40000,82.6,87.8,1010.8
2018-11-20,40000,83.8,91.4,1011.1
2018-11-21,40000,84.2,93.2,1010.3
2018-11-22,40000,83.8,91.4,1010.6
2018-11-23,40000,83.8,91.4,1010.5
2018-11-26,40000,77.4,78.8,1008.2
2018-11-27,40000,82.2,89.6,1011.6
2018-12-24,40000,81.1,91.4,1008.8
2018-12-25,40000,82.2,91.4,1008.4
2018-12-26,40000,80.6,87.8,1008.2
2018-12-28,40000,78.3,82.4,1008.6
2019-01-03,40000,82.0,87.8,1011.9
2019-01-04,40000,84.7,93.2,1012.5
2019-01-07,40000,83.8,95.0,1011.5
2019-01-08,40000,81.7,89.6,1012.0
2019-01-09,40000,83.3,93.2,1012.0
2019-01-16,40000,83.7,91.4,1010.2
2019-01-17,40000,82.0,93.2,1010.2
2019-01-18,40000,82.2,93.2,1010.6
2019-01-25,40000,80.4,91.4,1013.5
2019-02-12,48000,84.2,96.8,1014.6
2019-02-13,48000,83.7,93.2,1014.4
2019-02-14,48000,84.2,95.0,1012.7
2019-02-15,48000,84.0,95.0,1013.3
2019-02-18,48000,83.3,93.2,1011.7
2019-02-19,48000,83.5,91.4,1012.6
2019-02-20,48000,84.4,93.2,1013.8
2019-02-22,48000,82.9,89.6,1011.4
2019-02-25,48000,84.0,95.0,1010.9
2019-02-26,48000,84.0,95.0,1010.5
2019-02-28,48000,83.8,93.2,1009.5
2019-03-01,48000,83.5,93.2,1010.1
2019-03-04,48000,81.7,89.6,1009.3
2019-03-05,48000,82.4,93.2,1010.0
2019-03-06,48000,83.5,95.0,1010.9
2019-03-07,48000,83.8,91.4,1010.5
2019-03-08,48000,84.4,93.2,1010.8
2019-03-11,48000,85.8,96.8,1010.7
2019-03-12,48000,84.7,93.2,1011.2
2019-03-13,48000,87.1,95.0,1011.7
2019-03-14,48000,84.4,93.2,1012.7
2019-03-15,48000,86.5,96.8,1011.9
2019-03-18,48000,87.3,98.6,1010.5
2019-04-01,48000,84.9,95.0,1011.1
2019-04-02,48000,86.7,96.8,1011.1
2019-04-03,48000,85.8,93.2,1010.9
2019-04-05,48000,84.9,91.4,1011.0
2019-04-08,48000,86.2,93.2,1009.3
2019-04-09,48000,87.1,95.0,1009.1
2019-04-10,48000,88.0,95.0,1008.8
2019-04-11,48000,87.1,95.0,1008.0
2019-04-12,48000,88.0,95.0,1008.0
2019-04-16,48000,88.5,96.8,1008.9
2019-04-17,48000,87.4,96.8,1009.1
2019-04-18,40000,87.6,95.0,1008.3
2019-04-19,40000,88.9,98.6,1007.3
2019-04-22,36000,88.5,96.8,1006.4
2019-04-24,36000,88.9,98.6,1007.4
2019-04-25,36000,88.3,96.8,1007.1
2019-04-26,36000,88.0,95.0,1007.0
2019-05-02,36000,84.6,95.0,1008.3
2019-05-03,36000,85.8,95.0,1009.2
2019-05-04,36000,88.2,96.8,1009.4
2019-05-09,36000,83.5,93.2,1006.1
2019-05-10,36000,81.9,91.4,1007.8
2019-05-13,30000,85.8,95.0,1007.7
2019-05-14,30000,85.5,93.2,1008.1
2019-05-15,30000,86.7,96.8,1008.6
2019-05-17,30000,88.0,95.0,1008.2
2019-05-20,30000,85.3,95.0,1008.2
2019-05-21,30000,84.6,95.0,1008.4
2019-05-22,30000,82.6,95.0,1008.6
2019-05-31,30000,86.9,95.0,1007.0
2019-06-03,30000,82.2,93.2,1007.5
2019-06-04,30000,83.5,95.0,1007.4
2019-06-05,30000,83.7,93.2,1006.9
2019-06-06,30000,83.3,93.2,1008.2
2019-06-07,32000,82.9,89.6,1009.4
2019-06-10,32000,84.6,91.4,1006.7
2019-06-12,32000,85.3,91.4,1007.4
2019-06-14,32000,84.0,91.4,1007.4
2019-06-17,32000,82.0,87.8,1007.9
2019-06-18,32000,85.1,93.2,1007.8
2019-06-19,32000,86.7,95.0,1007.0
2019-06-20,32000,86.7,95.0,1006.3
2019-06-21,32000,83.7,95.0,1005.6
2019-06-24,32000,82.2,91.4,1007.9
2019-06-25,32000,84.4,93.2,1008.5
2019-06-26,32000,84.4,93.2,1007.9
2019-06-27,32000,85.3,91.4,1006.7
2019-07-02,42000,82.9,91.4,1005.9
2019-07-03,42000,78.1,82.4,1007.4
2019-07-04,42000,80.2,87.8,1009.0
2019-07-05,42000,83.7,91.4,1007.9
2019-07-08,42000,84.7,93.2,1008.7
2019-07-10,42000,86.2,93.2,1008.6
2019-07-11,42000,87.3,95.0,1009.8
2019-07-12,42000,86.7,93.2,1009.2
2019-07-15,42000,84.7,95.0,1005.4
2019-07-17,42000,79.9,87.8,1004.8
2019-07-18,42000,83.5,89.6,1005.0
2019-07-19,42000,82.8,89.6,1005.9
2019-07-22,42000,83.1,93.2,1007.2
2019-07-23,42000,83.7,93.2,1006.8
2019-07-24,42000,82.8,93.2,1007.7
2019-07-25,42000,79.9,89.6,1010.1
2019-07-26,42000,82.6,93.2,1008.7
2019-07-29,42000,80.4,91.4,1008.1
2019-07-30,42000,83.7,91.4,1006.6
2019-07-31,42000,82.9,93.2,1005.6
2019-08-01,42000,82.6,91.4,1006.9
2019-08-02,42000,79.5,86.0,1007.6
2019-08-05,42000,80.8,87.8,1005.9
2019-08-06,42000,78.4,86.0,1006.2
2019-08-07,42000,79.5,84.2,1005.3
2019-08-08,42000,79.9,86.0,1004.6
2019-08-09,42000,79.5,84.2,1003.8
2019-08-12,42000,84.6,93.2,1007.8
2019-08-13,42000,84.2,89.6,1008.5
2019-08-14,42000,85.5,93.2,1008.0
2019-08-15,42000,85.3,93.2,1007.9
2019-08-16,42000,83.7,91.4,1008.1
2019-08-19,40000,85.6,95.0,1007.7
2019-08-20,40000,83.8,91.4,1006.7
2019-08-22,40000,81.9,87.8,1008.8
2019-08-23,40000,83.3,91.4,1008.8
2019-09-11,40000,85.6,93.2,1011.2
2019-09-12,40000,85.5,93.2,1009.7
2019-09-13,40000,79.5,86.0,1007.8
2019-09-16,40000,80.4,87.8,1006.5
2019-09-17,40000,81.5,86.0,1007.1
2019-09-18,40000,78.8,84.2,1008.5
2019-09-19,40000,80.8,87.8,1009.9
2019-09-20,40000,81.1,87.8,1009.3
2019-09-23,40000,81.3,91.4,1011.6
2019-09-24,40000,85.3,91.4,1010.9
2019-09-25,40000,85.5,95.0,1011.1
2019-09-26,40000,81.0,93.2,1011.8
2019-09-27,40000,82.2,93.2,1011.4
2019-10-01,40000,81.9,89.6,1010.4
2019-10-02,40000,81.3,89.6,1010.5
2019-10-07,40000,84.2,89.6,1009.6
2019-10-08,40000,84.7,91.4,1009.8
2019-10-10,45000,82.9,91.4,1010.0
2019-10-11,45000,84.6,91.4,1009.3
2019-10-14,45000,83.7,93.2,1010.2
2019-10-15,40000,84.6,93.2,1009.7
2019-10-16,40000,83.5,95.0,1009.6
2019-10-17,40000,83.8,93.2,1009.3
2019-10-21,40000,83.5,89.6,1008.5
2019-10-22,40000,84.9,91.4,1007.6
2019-10-24,40000,84.9,93.2,1008.8
2019-10-28,40000,82.8,93.2,1008.7
2019-10-29,40000,84.7,93.2,1008.5
2019-10-30,40000,85.3,93.2,1006.8
2019-10-31,40000,80.4,86.0,1006.8
2019-11-05,40000,82.8,93.2,1008.1
2019-11-06,40000,80.8,86.0,1007.8
2019-11-07,40000,82.2,89.6,1009.0
