price,tavg,tmin,tmax,prcp,wdir,wspd,pres,RON 95-III
45000.0,84.6,77.0,91.4,0.268,79.0,4.5,1009.3,21.06
45000.0,83.7,75.2,93.2,0.268,79.0,4.8,1010.2,21.06
25000.0,84.6,77.0,93.2,0.268,87.0,6.1,1009.7,21.06
25000.0,83.5,77.0,95.0,0.268,45.0,4.5,1009.6,20.79
25000.0,83.8,77.0,93.2,0.268,62.0,4.7,1009.3,20.79
25000.0,83.5,77.0,89.6,0.268,138.0,3.2,1008.5,20.79
25000.0,84.9,78.8,91.4,0.268,138.0,4.0,1007.6,20.79
25000.0,84.9,80.6,93.2,0.268,108.0,5.6,1008.8,20.79
25000.0,82.8,75.2,93.2,0.268,93.0,4.3,1008.7,20.79
25000.0,84.7,75.2,93.2,0.268,22.0,6.5,1008.5,20.79
25000.0,85.3,78.8,93.2,0.268,340.0,5.8,1006.8,20.79
