date,price,RON 95-III
5/21/2020,31200,16.81
5/22/2020,31200,16.81
5/23/2020,31600,16.81
5/24/2020,31600,16.81
5/25/2020,31600,16.81
5/26/2020,31600,16.81
5/27/2020,31800,16.81
5/28/2020,31800,16.81
5/29/2020,31200,16.81
5/30/2020,31000,16.81
5/31/2020,31000,16.81
6/1/2020,31100,16.81
6/2/2020,30900,16.81
6/3/2020,31200,16.81
6/4/2020,31900,16.81
6/5/2020,31800,16.81
6/6/2020,31800,16.81
6/7/2020,31800,16.81
6/8/2020,32500,16.81
6/9/2020,32700,16.81
6/10/2020,32100,16.81
6/11/2020,32200,16.81
6/12/2020,31600,16.81
6/13/2020,31400,16.81
6/14/2020,31400,16.81
6/15/2020,31400,16.81
6/16/2020,31100,16.81
6/17/2020,30800,16.81
6/18/2020,30800,16.81
6/19/2020,30600,16.81
6/20/2020,30700,16.81
6/21/2020,30700,16.81
6/22/2020,30700,16.81
6/23/2020,30900,16.81
6/24/2020,30800,16.81
6/25/2020,30700,16.81
6/26/2020,30300,16.81
6/27/2020,30600,14.97
6/28/2020,30600,14.97
6/29/2020,30600,14.97
6/30/2020,31100,14.97
7/1/2020,31300,14.97
7/2/2020,31600,14.97
7/3/2020,31500,14.97
7/4/2020,31700,14.97
7/5/2020,31700,14.97
7/6/2020,31700,14.97
7/7/2020,31200,14.97
7/8/2020,31600,14.97
7/9/2020,31600,14.97
7/10/2020,31700,14.97
7/11/2020,31700,14.97
7/12/2020,31700,14.97
7/13/2020,31600,14.97
7/14/2020,32100,14.97
7/15/2020,31900,14.97
7/16/2020,32100,14.97
7/17/2020,32200,14.97
7/18/2020,32800,14.97
7/19/2020,32800,14.97
7/20/2020,32500,14.97
7/21/2020,32000,14.97
7/22/2020,32500,14.97
7/23/2020,32500,14.97
7/24/2020,32600,14.97
7/25/2020,32700,14.97
7/26/2020,32700,14.97
7/27/2020,32700,14.97
7/28/2020,32500,14.97
7/29/2020,32300,14.97
7/30/2020,32500,14.97
7/31/2020,32500,14.97
8/1/2020,32600,14.97
8/2/2020,32600,14.97
8/3/2020,32600,14.97
8/4/2020,32600,14.97
8/5/2020,33400,14.97
8/6/2020,32900,14.97
8/7/2020,32400,14.97
8/8/2020,32600,14.97
8/9/2020,32600,14.97
8/10/2020,32600,14.97
8/11/2020,32500,14.97
8/12/2020,32400,14.92
8/13/2020,32500,14.92
8/14/2020,33000,14.92
8/15/2020,33000,14.92
8/16/2020,33000,14.92
8/17/2020,33000,14.92
8/18/2020,32900,14.92
8/19/2020,33200,14.92
8/20/2020,33000,14.92
8/21/2020,33000,14.92
8/22/2020,33400,14.92
8/23/2020,33400,14.92
8/24/2020,33400,14.92
8/25/2020,33300,14.92
8/26/2020,33600,14.92
8/27/2020,33700,15.11
8/28/2020,33300,15.11
8/29/2020,33600,15.11
8/30/2020,33600,15.11
8/31/2020,33600,15.11
9/1/2020,33600,15.11
9/2/2020,34100,15.11
9/3/2020,33800,15.11
9/4/2020,33700,15.11
9/5/2020,33800,15.11
9/6/2020,33800,15.11
9/7/2020,33800,15.11
9/8/2020,33500,15.11
9/9/2020,33500,15.11
9/10/2020,33500,15.11
9/11/2020,33500,14.98
9/12/2020,33500,14.98
9/13/2020,33500,14.98
9/14/2020,33700,14.98
9/15/2020,32900,14.98
9/16/2020,33000,14.98
9/17/2020,32900,14.98
9/18/2020,32800,14.98
9/19/2020,32300,14.98
9/20/2020,32300,14.98
9/21/2020,32400,14.98
9/22/2020,32200,14.98
9/23/2020,32100,14.98
9/24/2020,32200,14.98
9/25/2020,32200,14.98
9/26/2020,32400,14.98
9/27/2020,32400,14.98
9/28/2020,32400,14.98
9/29/2020,31800,14.98
9/30/2020,31500,14.98
10/1/2020,31600,14.98
10/2/2020,31500,14.98
10/3/2020,31700,14.98
10/4/2020,31700,14.98
10/5/2020,32000,14.98
10/6/2020,31900,14.98
10/7/2020,31800,14.98
10/8/2020,31600,14.98
10/9/2020,31700,14.98
10/10/2020,31900,14.98
10/11/2020,31900,14.98
10/12/2020,31700,15.12
10/13/2020,31200,15.12
10/14/2020,31100,15.12
10/15/2020,31600,15.12
10/16/2020,31600,15.12
10/17/2020,32000,15.12
10/18/2020,32000,15.12
10/19/2020,32000,15.12
10/20/2020,32100,15.12
10/21/2020,31800,15.12
10/22/2020,31600,15.12
10/23/2020,32200,15.12
10/24/2020,32200,15.12
10/25/2020,32200,15.12
10/26/2020,32200,15.12
10/27/2020,32400,14.94
10/28/2020,33000,14.94
10/29/2020,33000,14.94
10/30/2020,32900,14.94
10/31/2020,32900,14.94
11/1/2020,32900,14.94
11/2/2020,33000,14.94
11/3/2020,32900,14.94
11/4/2020,32800,14.94
11/5/2020,32700,14.94
11/6/2020,33200,14.94
11/7/2020,33400,14.94
11/8/2020,33400,14.94
11/9/2020,33300,14.94
11/10/2020,33300,14.94
11/11/2020,33500,14.7
11/12/2020,33800,14.7
11/13/2020,34000,14.7
11/14/2020,33900,14.7
11/15/2020,33900,14.7
11/16/2020,33900,14.7
11/17/2020,34400,14.7
11/18/2020,33800,14.7
11/19/2020,33500,14.7
11/20/2020,33100,14.7
11/21/2020,33000,14.7
11/22/2020,33000,14.7
11/23/2020,33000,14.7
11/24/2020,32800,14.7
11/25/2020,32500,14.7
11/26/2020,32500,15.35
11/27/2020,33200,15.35
11/28/2020,33200,15.35
11/29/2020,33200,15.35
11/30/2020,33200,15.35
12/1/2020,33000,15.35
12/2/2020,32800,15.35
12/3/2020,32000,15.35
12/4/2020,32100,15.35
12/5/2020,31900,15.35
12/6/2020,31900,15.35
12/7/2020,31900,15.35
12/8/2020,31800,15.35
12/9/2020,31800,15.35
12/10/2020,31700,15.35
12/11/2020,32900,16
12/12/2020,32900,16
12/13/2020,32900,16
12/14/2020,32800,16
12/15/2020,33200,16
12/16/2020,32900,16
12/17/2020,33000,16
12/18/2020,33000,16
12/19/2020,32800,16
12/20/2020,32800,16
12/21/2020,32800,16
12/22/2020,32800,16
12/23/2020,32800,16
12/24/2020,32800,16
12/25/2020,32900,16
12/26/2020,32900,16.47
12/27/2020,32900,16.47
12/28/2020,32900,16.47
12/29/2020,32900,16.47
12/30/2020,32900,16.47
12/31/2020,32800,16.47
1/1/2021,33000,16.47
1/2/2021,33000,16.47
1/3/2021,33000,16.47
1/4/2021,32900,16.47
1/5/2021,32600,16.47
1/6/2021,32500,16.47
1/7/2021,32300,16.47
1/8/2021,32000,16.47
1/9/2021,31700,16.47
1/10/2021,31700,16.47
1/11/2021,31700,16.93
1/12/2021,31600,16.93
1/13/2021,31300,16.93
1/14/2021,32000,16.93
1/15/2021,31900,16.93
1/16/2021,32200,16.93
1/17/2021,32200,16.93
1/18/2021,32200,16.93
1/19/2021,32000,16.93
1/20/2021,31900,16.93
1/21/2021,31800,16.93
1/22/2021,31500,16.93
1/23/2021,31300,16.93
1/24/2021,31300,16.93
1/25/2021,31300,16.93
1/26/2021,31300,17.27
1/27/2021,31500,17.27
