date,price,area,productivity,quantity
2011-08-15,11000,235.5,75.1,1768.8
2011-08-16,11000,235.5,75.1,1768.8
2011-08-17,11000,235.5,75.1,1768.8
2011-08-18,11000,235.5,75.1,1768.8
2011-08-19,11000,235.5,75.1,1768.8
2011-08-22,11000,235.5,75.1,1768.8
2011-08-23,11000,235.5,75.1,1768.8
2011-08-24,11000,235.5,75.1,1768.8
2011-08-25,11000,235.5,75.1,1768.8
2011-08-29,11000,235.5,75.1,1768.8
2011-08-30,11000,235.5,75.1,1768.8
2011-08-31,11000,235.5,75.1,1768.8
2011-09-01,10500,235.5,75.1,1768.8
2011-09-05,10500,235.5,75.1,1768.8
2011-09-06,10500,235.5,75.1,1768.8
2011-09-07,10500,235.5,75.1,1768.8
2011-09-08,10500,235.5,75.1,1768.8
2011-09-09,10500,235.5,75.1,1768.8
2011-09-12,10500,235.5,75.1,1768.8
2011-09-13,10500,235.5,75.1,1768.8
2011-09-14,10800,235.5,75.1,1768.8
2011-09-15,10800,235.5,75.1,1768.8
2011-09-16,11000,235.5,75.1,1768.8
2011-09-19,11000,235.5,75.1,1768.8
2011-09-20,11000,235.5,75.1,1768.8
2011-09-21,11000,235.5,75.1,1768.8
2011-09-22,11000,235.5,75.1,1768.8
2011-09-23,11000,235.5,75.1,1768.8
2011-09-26,11000,235.5,75.1,1768.8
2011-09-27,11000,235.5,75.1,1768.8
2011-09-28,11000,235.5,75.1,1768.8
2011-09-29,11000,235.5,75.1,1768.8
2011-09-30,11000,235.5,75.1,1768.8
2011-10-03,11000,235.5,75.1,1768.8
2011-10-04,11000,235.5,75.1,1768.8
2011-10-06,11000,235.5,75.1,1768.8
2011-10-07,11500,235.5,75.1,1768.8
2011-10-10,11500,235.5,75.1,1768.8
2011-10-11,11500,235.5,75.1,1768.8
2011-10-12,11500,235.5,75.1,1768.8
2011-10-13,11500,235.5,75.1,1768.8
2011-10-17,11500,235.5,75.1,1768.8
2011-10-18,11500,235.5,75.1,1768.8
2011-10-19,11500,235.5,75.1,1768.8
2011-10-20,11500,235.5,75.1,1768.8
2011-10-21,11500,235.5,75.1,1768.8
2011-10-24,11500,235.5,75.1,1768.8
2011-10-25,11500,235.5,75.1,1768.8
2011-10-26,11500,235.5,75.1,1768.8
2011-10-27,11500,235.5,75.1,1768.8
2011-10-28,12500,235.5,75.1,1768.8
2011-10-31,12500,235.5,75.1,1768.8
2011-11-01,12500,235.5,75.1,1768.8
2011-11-02,12500,235.5,75.1,1768.8
2011-11-04,12500,235.5,75.1,1768.8
2011-11-07,12500,235.5,75.1,1768.8
2011-11-08,12500,235.5,75.1,1768.8
2011-11-09,12500,235.5,75.1,1768.8
2011-11-10,12000,235.5,75.1,1768.8
2011-11-11,12000,235.5,75.1,1768.8
2011-11-15,12000,235.5,75.1,1768.8
2011-11-16,12000,235.5,75.1,1768.8
2011-11-17,12000,235.5,75.1,1768.8
2011-11-18,12000,235.5,75.1,1768.8
2011-11-21,12000,235.5,75.1,1768.8
2011-11-22,12000,235.5,75.1,1768.8
2011-11-23,12000,235.5,75.1,1768.8
2011-11-24,12000,235.5,75.1,1768.8
2011-11-25,12100,235.5,75.1,1768.8
2011-11-28,12100,235.5,75.1,1768.8
2011-11-29,12100,235.5,75.1,1768.8
2011-11-30,12000,235.5,75.1,1768.8
2011-12-01,12000,235.5,75.1,1768.8
2011-12-02,12000,235.5,75.1,1768.8
2011-12-05,12000,235.5,75.1,1768.8
2011-12-06,11500,235.5,75.1,1768.8
2011-12-07,11000,235.5,75.1,1768.8
2011-12-08,11000,235.5,75.1,1768.8
2011-12-09,11000,235.5,75.1,1768.8
2011-12-12,11000,235.5,75.1,1768.8
2011-12-13,11000,235.5,75.1,1768.8
2011-12-14,11000,235.5,75.1,1768.8
2011-12-15,11000,235.5,75.1,1768.8
