date,price,area,productivity,quantity,RON 95-III
12/10/2019,11000,233.7,71,1659.3,21.07
12/11/2019,11000,233.7,71,1659.3,21.07
12/12/2019,11000,233.7,71,1659.3,21.07
12/13/2019,11000,233.7,71,1659.3,21.07
12/14/2019,11000,233.7,71,1659.3,21.07
12/15/2019,11000,233.7,71,1659.3,21.07
12/16/2019,11000,233.7,71,1659.3,20.88
12/17/2019,11000,233.7,71,1659.3,20.88
12/18/2019,11000,233.7,71,1659.3,20.88
12/19/2019,11000,233.7,71,1659.3,20.88
12/20/2019,11000,233.7,71,1659.3,20.88
12/21/2019,11000,233.7,71,1659.3,20.88
12/22/2019,11000,233.7,71,1659.3,20.88
12/23/2019,11000,233.7,71,1659.3,20.88
12/24/2019,11000,233.7,71,1659.3,20.88
12/25/2019,11000,233.7,71,1659.3,20.88
12/26/2019,11000,233.7,71,1659.3,20.88
12/27/2019,11000,233.7,71,1659.3,20.88
12/28/2019,11000,233.7,71,1659.3,20.88
12/29/2019,11000,233.7,71,1659.3,20.88
12/30/2019,11000,233.7,71,1659.3,20.88
12/31/2019,11000,233.7,71,1659.3,20.99
1/1/2020,11000,233.7,71,1659.3,20.99
1/2/2020,11000,233.7,71,1659.3,20.99
1/3/2020,11000,233.7,71,1659.3,20.99
1/4/2020,11000,233.7,71,1659.3,20.99
1/5/2020,11000,233.7,71,1659.3,20.99
1/6/2020,11000,233.7,71,1659.3,20.99
1/7/2020,11000,233.7,71,1659.3,20.99
1/8/2020,11000,233.7,71,1659.3,20.99
1/9/2020,11000,229.4,71.7,1645.1,20.99
1/10/2020,11000,229.4,71.7,1645.1,20.99
1/11/2020,11000,229.4,71.7,1645.1,20.99
1/12/2020,11000,229.4,71.7,1645.1,20.99
1/13/2020,11000,229.4,71.7,1645.1,20.99
1/14/2020,11000,229.4,71.7,1645.1,20.99
1/15/2020,11000,229.4,71.7,1645.1,20.91
1/16/2020,11000,229.4,71.7,1645.1,20.91
1/17/2020,11000,229.4,71.7,1645.1,20.91
1/18/2020,11000,229.4,71.7,1645.1,20.91
1/19/2020,11000,229.4,71.7,1645.1,20.91
1/20/2020,11000,229.4,71.7,1645.1,20.91
1/21/2020,11000,229.4,71.7,1645.1,20.91
1/22/2020,11000,229.4,71.7,1645.1,20.91
1/23/2020,11000,229.4,71.7,1645.1,20.91
1/24/2020,11000,229.4,71.7,1645.1,20.91
1/25/2020,11000,229.4,71.7,1645.1,20.91
1/26/2020,11000,229.4,71.7,1645.1,20.91
1/27/2020,11000,229.4,71.7,1645.1,20.91
1/28/2020,11000,229.4,71.7,1645.1,20.91
1/29/2020,11000,229.4,71.7,1645.1,20.91
1/30/2020,11000,229.4,71.7,1645.1,20.12
1/31/2020,11000,229.4,71.7,1645.1,20.12
2/1/2020,11000,229.4,71.7,1645.1,20.12
2/2/2020,11000,229.4,71.7,1645.1,20.12
2/3/2020,11000,229.4,71.7,1645.1,20.12
2/4/2020,11000,229.4,71.7,1645.1,20.12
2/5/2020,11000,229.4,71.7,1645.1,20.12
2/6/2020,11000,229.4,71.7,1645.1,20.12
2/7/2020,11000,229.4,71.7,1645.1,20.12
2/8/2020,11000,229.4,71.7,1645.1,20.12
2/9/2020,11000,229.4,71.7,1645.1,20.12
2/10/2020,11000,229.4,71.7,1645.1,20.12
2/11/2020,11000,229.4,71.7,1645.1,20.12
2/12/2020,11000,229.4,71.7,1645.1,20.12
2/13/2020,11000,229.4,71.7,1645.1,20.12
2/14/2020,11000,229.4,71.7,1645.1,19.38
2/15/2020,11000,229.4,71.7,1645.1,19.38
2/16/2020,11000,229.4,71.7,1645.1,19.38
2/17/2020,11000,229.4,71.7,1645.1,19.38
2/18/2020,11000,229.4,71.7,1645.1,19.38
2/19/2020,11000,229.4,71.7,1645.1,19.38
2/20/2020,11000,229.4,71.7,1645.1,19.38
2/21/2020,11000,229.4,71.7,1645.1,19.38
2/22/2020,11000,229.4,71.7,1645.1,19.38
2/23/2020,11000,229.4,71.7,1645.1,19.38
2/24/2020,11000,229.4,71.7,1645.1,19.38
